Name;TAC;CellId;earfcn;pci1;pci2;pci;prach;power;mobCtrlAtPoorCovActive
CH0001L11;12604;11;1300;167;1;502;590;0;true
CH0001L21;12604;21;1300;167;0;501;170;0;true
CH0001L31;12604;31;1300;167;2;503;120;0;true
CH0002L11;12604;11;1300;55;1;166;750;300;true
CH0002L21;12604;21;1300;55;0;165;820;300;true
CH0002L31;12604;31;1300;55;2;167;310;300;true
CH0003L11;12604;11;1300;17;0;51;510;300;true
CH0003L21;12604;21;1300;17;1;52;500;300;true
CH0003L31;12604;31;1300;17;2;53;240;300;true
CH0006L11;12602;11;1300;90;0;270;30;300;true
CH0006L21;12602;21;1300;90;1;271;40;300;true
CH0006L31;12602;31;1300;90;2;272;540;300;true
CH0007L11;12602;11;1300;60;0;180;430;300;true
CH0007L21;12602;21;1300;60;1;181;360;300;true
CH0007L31;12602;31;1300;60;2;182;520;300;true
CH0009L11;12604;11;1300;105;0;315;530;300;true
CH0009L21;12604;21;1300;105;1;316;0;300;true
CH0009L31;12604;31;1300;105;2;317;570;300;true
CH0010L11;12604;11;1300;107;1;322;420;300;true
CH0010L21;12604;21;1300;107;0;321;260;300;true
CH0010L31;12604;31;1300;107;2;323;470;300;true
CH0011L11;12602;11;1300;109;1;328;260;300;true
CH0011L21;12602;21;1300;109;0;327;470;300;true
CH0011L31;12602;31;1300;109;2;329;280;300;true
CH0012L11;12604;11;1300;26;0;78;190;300;true
CH0012L21;12604;21;1300;26;1;79;300;300;true
CH0012L31;12604;31;1300;26;2;80;570;300;true
CH0014L11;12604;11;1300;138;1;415;340;300;true
CH0014L21;12604;21;1300;138;0;414;290;300;true
CH0014L31;12604;31;1300;138;2;416;650;300;true
CH0015L11;12602;11;1300;54;0;162;130;300;true
CH0015L21;12602;21;1300;54;1;163;630;300;true
CH0015L31;12602;31;1300;54;2;164;120;300;true
CH0016L11;12602;11;1300;116;0;348;420;300;true
CH0016L21;12602;21;1300;116;1;349;350;300;true
CH0016L31;12602;31;1300;116;2;350;50;300;true
CH0017L11;12602;11;1300;161;0;483;250;300;true
CH0017L21;12602;21;1300;161;1;484;180;300;true
CH0017L31;12602;31;1300;161;2;485;490;300;true
CH0018L11;12604;11;1300;136;1;409;60;300;true
CH0018L21;12604;21;1300;136;0;408;70;300;true
CH0018L31;12604;31;1300;136;2;410;80;300;true
CH0019L11;12604;11;1300;50;0;150;730;300;true
CH0019L21;12604;21;1300;50;1;151;790;300;true
CH0019L31;12604;31;1300;50;2;152;370;300;true
CH0022L11;12604;11;1300;145;0;435;260;300;true
CH0022L21;12604;21;1300;145;1;436;530;300;true
CH0022L31;12604;31;1300;145;2;437;770;300;true
CH0023L11;12602;11;1300;97;0;291;470;300;true
CH0023L21;12602;21;1300;97;2;293;560;300;true
CH0023L31;12602;31;1300;97;1;292;760;300;true
CH0024L11;12602;11;1300;160;1;481;60;300;true
CH0024L21;12602;21;1300;160;2;482;340;300;true
CH0024L31;12602;31;1300;160;0;480;570;300;true
CH0025L11;12602;11;1300;38;1;115;600;300;true
CH0025L21;12602;21;1300;38;2;116;440;300;true
CH0025L31;12602;31;1300;38;0;114;130;300;true
CH0026L11;12604;11;1300;143;0;429;220;300;true
CH0026L21;12604;21;1300;143;1;430;420;300;true
CH0026L31;12604;31;1300;143;2;431;680;300;true
CH0033L11;12604;11;1300;162;1;487;180;300;true
CH0033L21;12604;21;1300;162;0;486;20;300;true
CH0033L31;12604;31;1300;162;2;488;600;300;true
CH0036L11;12602;11;1300;7;2;23;440;300;true
CH0036L21;12602;21;1300;7;1;22;480;300;true
CH0039L11;12602;11;1300;71;1;214;690;300;true
CH0039L21;12602;21;1300;71;2;215;670;300;true
CH0039L31;12602;31;1300;71;0;213;400;300;true
CH0040L11;12602;11;1300;38;0;114;570;300;true
CH0040L21;12602;21;1300;38;1;115;320;300;true
CH0040L31;12602;31;1300;38;2;116;600;300;true
CH0041L11;12604;11;1300;146;0;438;430;300;true
CH0041L21;12604;21;1300;146;1;439;770;300;true
CH0041L31;12604;31;1300;146;2;440;330;300;true
CH0042L11;12604;11;1300;119;1;358;140;300;true
CH0042L21;12604;21;1300;119;0;357;700;300;true
CH0042L31;12604;31;1300;119;2;359;30;300;true
CH0044L11;12602;11;1300;76;1;229;620;300;true
CH0044L21;12602;21;1300;76;2;230;20;300;true
CH0044L31;12602;31;1300;76;0;228;520;300;true
CH0047L11;12602;11;1300;67;0;201;580;300;true
CH0047L21;12602;21;1300;67;1;202;620;300;true
CH0047L31;12602;31;1300;67;2;203;80;300;true
CH0048L11;12602;11;1300;82;0;246;450;300;true
CH0048L21;12602;21;1300;82;1;247;70;300;true
CH0048L31;12602;31;1300;82;2;248;470;300;true
CH0049L11;12602;11;1300;160;1;481;140;300;true
CH0049L21;12602;21;1300;160;2;482;210;300;true
CH0049L31;12602;31;1300;160;0;480;510;300;true
CH0052L11;12604;11;1300;27;0;81;660;300;true
CH0052L21;12604;21;1300;27;1;82;610;300;true
CH0052L31;12604;31;1300;27;2;83;370;300;true
CH0053L11;12604;11;1300;6;1;19;460;300;true
CH0053L21;12604;21;1300;6;2;20;50;300;true
CH0053L31;12604;31;1300;6;0;18;560;300;true
CH0054L11;12602;11;1300;166;1;499;540;300;true
CH0054L21;12602;21;1300;166;2;500;500;300;true
CH0054L31;12602;31;1300;166;0;498;710;300;true
CH0055L11;12604;11;1300;162;1;487;190;300;true
CH0055L21;12604;21;1300;162;0;486;150;300;true
CH0055L31;12604;31;1300;162;2;488;100;300;true
CH0058L11;12602;11;1300;115;2;347;410;300;true
CH0058L21;12602;21;1300;115;1;346;490;300;true
CH0058L31;12602;31;1300;115;0;345;580;300;true
CH0066L11;12604;11;1300;81;1;244;560;300;true
CH0066L21;12604;21;1300;81;0;243;620;300;true
CH0066L31;12604;31;1300;81;2;245;440;300;true
CH0068L11;12602;11;1300;8;1;25;560;300;true
CH0068L21;12602;21;1300;8;2;26;400;300;true
CH0068L31;12602;31;1300;8;0;24;640;300;true
CH0073L11;12602;11;1300;15;2;47;170;300;true
CH0073L21;12602;21;1300;15;1;46;560;300;true
CH0073L31;12602;31;1300;15;0;45;750;300;true
CH0077L11;12602;11;1300;3;2;11;270;300;true
CH0077L21;12602;21;1300;3;0;9;220;300;true
CH0077L31;12602;31;1300;3;1;10;680;300;true
CH0085L11;12604;11;1300;95;1;286;240;300;true
CH0085L21;12604;21;1300;95;2;287;800;300;true
CH0085L31;12604;31;1300;95;0;285;390;300;true
CH2003L11;12601;11;1300;159;2;479;60;300;true
CH2003L21;12601;21;1300;159;0;477;740;300;true
CH2003L31;12601;31;1300;159;1;478;390;300;true
CH2005L11;12601;11;1300;68;1;205;680;300;true
CH2005L21;12601;21;1300;68;2;206;210;300;true
CH2005L31;12601;31;1300;68;0;204;410;300;true
CH2200L11;12606;11;1300;44;1;133;50;300;true
CH2200L21;12606;21;1300;44;0;132;300;300;true
CH2200L31;12606;31;1300;44;2;134;220;300;true
CH2201L11;12606;11;1300;53;0;159;520;300;true
CH2201L21;12606;21;1300;53;1;160;730;300;true
CH2201L31;12606;31;1300;53;2;161;740;300;true
CH2701L11;12601;11;1300;100;0;300;490;300;true
CH2701L21;12601;21;1300;100;1;301;250;300;true
CH2701L31;12601;31;1300;100;2;302;750;300;true
CH3001L11;12601;11;1300;84;0;252;280;300;true
CH3001L21;12601;21;1300;84;1;253;130;300;true
CH3001L31;12601;31;1300;84;2;254;690;300;true
CH4203L11;12601;11;1300;105;0;315;140;300;true
CH4203L21;12601;21;1300;105;1;316;650;300;true
CH4203L31;12601;31;1300;105;2;317;220;300;true
CH4851L11;12601;11;1300;153;2;461;390;300;true
CH4851L21;12601;21;1300;153;0;459;750;300;true
CH4851L31;12601;31;1300;153;1;460;800;300;true
CK0001L11;12710;11;1300;90;0;270;0;0;true
CK0001L21;12710;21;1300;130;1;391;10;0;true
CK0001L31;12710;31;1300;0;2;2;20;0;true
CK0002L11;12710;11;1300;52;0;156;270;300;true
CK0002L21;12710;21;1300;52;2;158;520;300;true
CK0002L31;12710;31;1300;52;1;157;680;300;true
CK0003L11;12710;11;1300;132;0;396;640;300;true
CK0003L21;12710;21;1300;132;2;398;740;300;true
CK0003L31;12710;31;1300;132;1;397;30;300;true
CK0004L11;12710;11;1300;118;2;356;650;300;true
CK0004L21;12710;21;1300;118;0;354;260;300;true
CK0004L31;12710;31;1300;118;1;355;590;300;true
CK0006L11;12710;11;1300;20;0;60;550;0;true
CK0006L21;12710;21;1300;20;2;62;800;0;true
CK0006L31;12710;31;1300;0;1;1;610;0;true
CK0009L11;12710;11;1300;60;0;180;210;0;true
CK0009L21;12710;21;1300;100;1;301;220;0;true
CK0009L31;12710;31;1300;10;2;32;230;0;true
CK0012L11;12710;11;1300;116;0;348;50;300;true
CK0012L21;12710;21;1300;116;1;349;570;300;true
CK0012L31;12710;31;1300;116;2;350;620;300;true
CK0015L11;12710;11;1300;91;0;273;760;0;true
CK0015L21;12710;21;1300;91;2;275;100;0;true
CK0015L31;12710;31;1300;91;1;274;430;0;true
CK0016L11;12710;11;1300;43;2;131;620;300;true
CK0016L21;12710;21;1300;43;0;129;200;300;true
CK0016L31;12710;31;1300;43;1;130;190;300;true
CK0017L11;12710;11;1300;42;2;128;120;0;true
CK0017L21;12710;21;1300;42;0;126;500;0;true
CK0017L31;12710;31;1300;42;1;127;0;0;true
CK0018L11;12710;11;1300;71;0;213;440;0;true
CK0018L21;12710;21;1300;71;2;215;560;0;true
CK0018L31;12710;31;1300;71;1;214;480;0;true
CK0021L11;12710;11;1300;57;2;173;350;0;true
CK0021L21;12710;21;1300;57;1;172;320;0;true
CK0021L31;12710;31;1300;40;0;120;80;0;true
CK0024L11;12710;11;1300;127;1;382;220;300;true
CK0024L21;12710;21;1300;127;0;381;280;300;true
CK0024L31;12710;31;1300;127;2;383;630;300;true
CK0027L11;12710;11;1300;138;0;414;780;300;true
CK0027L21;12710;21;1300;138;2;416;350;300;true
CK0027L31;12710;31;1300;138;1;415;300;300;true
CK0031L11;12710;11;1300;10;0;30;200;300;true
CK0031L21;12710;21;1300;10;2;32;710;300;true
CK0031L31;12710;31;1300;10;1;31;660;300;true
CK0047L11;12710;11;1300;86;2;260;590;0;true
CK0047L21;12710;21;1300;86;1;259;740;0;true
CK0047L31;12710;31;1300;86;0;258;570;0;true
CK0048L11;12710;11;1300;81;0;243;260;0;true
CK0048L31;12710;31;1300;81;1;244;720;0;true
CK0055L11;12710;11;1300;60;0;180;220;0;true
CK0055L21;12710;21;1300;130;1;391;230;0;true
CK0055L31;12710;31;1300;70;2;212;480;0;true
CK0062L11;12710;11;1300;130;0;390;630;300;true
CK0062L21;12710;21;1300;120;1;361;300;300;true
CK0062L31;12710;31;1300;160;2;482;660;300;true
CK0064L11;12710;11;1300;110;2;332;110;0;true
CK0064L21;12710;21;1300;110;1;331;530;0;true
CK0064L31;12710;31;1300;110;0;330;20;0;true
CK0065L11;12710;11;1300;97;2;293;330;0;true
CK0065L21;12710;21;1300;97;0;291;650;0;true
